Name,Symbol,Price (in $),Change,Volume (in millions),Market Cap (in billions),P/E Ratio
Opendoor Technologies Inc.,OPEN,9.07,-1.45,468.007,6.675,
"Warner Bros. Discovery, Inc.",WBD,18.87,2.7,285.399,46.718,60.87
"Tesla, Inc.",TSLA,395.94,27.13,161.84,1277.0,238.52
Grab Holdings Limited,GRAB,6.0,0.47,109.207,24.459,300.0
"Rigetti Computing, Inc.",RGTI,19.09,2.4,110.47,6.188,
NVIDIA Corporation,NVDA,177.82,0.65,121.531,4329.0,50.81
American Airlines Group Inc.,AAL,12.91,-0.04,84.016,8.518,15.37
Snap Inc.,SNAP,7.34,0.05,80.603,12.403,
Pfizer Inc.,PFE,23.87,-0.99,74.186,135.714,12.63
"Joby Aviation, Inc.",JOBY,14.0,0.32,73.309,11.984,
"MARA Holdings, Inc.",MARA,16.31,0.6,70.144,6.042,8.77
NIO Inc.,NIO,6.22,0.15,74.747,14.925,
"Bitmine Immersion Technologies, Inc.",BMNR,55.09,7.3,65.848,9.558,
"Rivian Automotive, Inc.",RIVN,13.46,-0.51,66.751,16.333,
"IonQ, Inc.",IONQ,55.61,8.56,61.971,16.554,
Banco Bradesco S.A.,BBD,3.13,-0.03,58.58,30.915,9.21
Denison Mines Corp.,DNN,2.37,-0.06,58.186,2.138,
D-Wave Quantum Inc.,QBTS,17.76,1.24,59.207,6.074,
Palantir Technologies Inc.,PLTR,171.43,7.07,53.334,406.69,591.14
"SoFi Technologies, Inc.",SOFI,26.55,0.59,59.09,31.792,53.1
Apple Inc.,AAPL,234.07,4.04,55.221,3474.0,35.47
Oracle Corporation,ORCL,292.18,-15.68,48.369,830.291,67.63
Intel Corporation,INTC,24.08,-0.53,52.018,112.46,
Ford Motor Company,F,11.68,-0.08,45.956,46.485,14.97
"SoundHound AI, Inc.",SOUN,14.12,-0.46,46.399,5.757,
"Skechers U.S.A., Inc.",SKX,63.13,-0.07,41.046,9.487,14.41
"Advanced Micro Devices, Inc.",AMD,158.57,2.9,42.136,257.334,95.52
"Riot Platforms, Inc.",RIOT,15.89,0.24,39.594,5.873,
Ambev S.A.,ABEV,2.3,0.01,38.457,36.118,13.53
B2Gold Corp.,BTG,4.49,0.04,38.019,5.947,
