name,location,price (in lacs),area (in sqft),bhk,starred
navganesh eden,kolathur,72.04,1181,3,0.0
shree varu homes gruham,"vadapalani,  south",159.0,1328,3,0.0
prince courtyard,egmore,443.0,2110,3,0.0
s and p the address,"mambakkam, vandalur kelambakkam road",220.00000000000003,1500,3,0.0
"mkb nagar, vyasarpadi, chennai, chennai north","mkb nagar, vyasarpadi",175.0,1600,4,0.0
golden opulence,poonamallee,99.0,1490,3,4.2
"royal homes, ragavendra colony",urapakkam west,45.0,979,2,0.0
panayur,ganallur,150.0,2250,3,0.0
ms seneerkuppam,poonamallee,46.0,850,2,0.0
"choolai, chennai, chennai central",choolai,275.0,1248,4,0.0
srinivasa flats,"rv nagar, kodungaiyur",55.0,850,2,0.0
shrusti vedanshi,velachery,160.0,975,2,0.0
arsan homes,rajakilpakkam,65.0,985,2,0.0
priyam,"maya nagar stage 2 extension, sri iyappa nagar",245.00000000000003,2700,4,0.0
"mannivakkam, chennai, chennai south",mannivakkam,185.0,2400,3,0.0
"palm revira,",thirumudivakkam,118.0,1913,4,0.0
palm riveria,thirumudivakkam,42.0,900,1,0.0
casa grand smart town,"thalambur, omr",46.0,570,1,0.0
not exactly apartment.,pallikaranai,95.0,1770,2,0.0
jains advaya,kovur,82.0,1279,3,0.0
kattupakkam,"chendurpuram, kattupakkam",75.0,1377,3,0.0
vijay shanthi lotus pond,kelambakkam,45.0,1147,3,3.6
sbioa unity enclave,"mambakkam, vandalur kelambakkam road",89.0,1529,3,0.0
arun excello sankara,"mambakkam, vandalur kelambakkam road
·
rera",54.0,615,2,0.0
plaza serene acres,"ayaganagar, thoraipakkam",120.0,1496,3,0.0
radiance shine,"kazhipattur, omr",75.0,1298,3,3.8
snd sai swaraj,pallikaranai,105.0,1400,3,0.0
"sri sai nagar, thoraipakkam, chennai south","sri sai nagar, thoraipakkam",101.0,858,3,0.0
ssm nagar housing complex,"new perungalathur, perungalathur",60.0,1021,2,0.0
sai mithra apartments,rajakilpakkam,142.0,1734,3,0.0
radiance sapphire,"ganallur, 
·
rera",139.0,1346,3,0.0
"ansary flats,","natesan nagar, virugambakkam, arcot road",110.00000000000001,1030,3,0.0
"perumbakkam, chennai, chennai south",perumbakkam,270.0,1500,5,0.0
engineers richmond court,sembakkam,58.0,950,2,0.0
"rayan homes, nanmangalam",kovilambakkam,32.5,540,1,0.0
"chepauk, triplicane, chennai, chennai central","chepauk, triplicane",104.0,832,2,0.0
"senneer kuppam, chennai, chennai west",senneer kuppam,274.0,2736,2,0.0
dac manapark,manapakkam,110.00000000000001,1405,2,0.0
suraj enclave,"ayyappa nagar, sadasivam nagar, sembakkam",70.0,1200,3,0.0
aurum villas,padur,324.0,3240,5,0.0
raghav ram nivas,nanmangalam,60.0,980,2,0.0
agni balaraga,"ambattur, 
·
rera",70.0,1038,2,0.0
"valasaravakkam, chennai, chennai west",valasaravakkam,250.0,1085,3,0.0
nest spectra,ganallur,38.0,565,1,0.0
on request,"agaramthen, vandalur kelambakkam road",33.3,665,2,0.0
jains advaya,kovur,80.0,1184,3,0.0
on request,madipakkam,101.0,1350,3,0.0
ramaniyam magnum,"taramani, omr
·
rera",295.0,2294,3,0.0
snd sai swaraj,velachery,105.0,1400,3,0.0
heritage venkateshwara nagar,"karambakkam, porur",265.0,1789,3,0.0
arun excello town house,oragadam,89.0,1005,3,0.0
xs real catalunya city,"siruseri, 
·
rera",84.99,1411,3,0.0
jayam gangailakshmi homes,ivasa nagar new perungalathur,69.0,1350,3,0.0
malles akankssha,"perumbakkam, 
·
rera",70.0,978,2,0.0
urban tree trinity garden society,thoraipakkam,60.0,1050,2,0.0
casagrand athens,mogappair,90.0,613,2,0.0
snd sai swaraj,pallikaranai,101.0,1350,3,0.0
altis oceanique,ecr,170.0,1633,3,0.0
vasantham apartment,perambur,65.0,851,2,0.0
baashyaam the plutus residence,"dira nagar , adyar",500.0,1930,3,0.0
rohinimap apartment,"veerabhadra nagar, medavakkam",95.0,1431,3,0.0
casagrand woodside,"manapakkam, 
·
rera",110.00000000000001,1208,2,0.0
thirumaaligais kailash,pallikaranai,105.0,1436,3,0.0
golden opulence,poonamallee,45.0,709,2,4.2
"mudichur, chennai, chennai south",mudichur,265.0,5300,9,0.0
viva city,arungal,20.0,426,1,0.0
snd sai swaraj,velachery,101.0,1350,3,0.0
"kovur, chennai, chennai west",kovur,307.0,3600,6,0.0
kg signature,maduravoyal,200.0,2520,4,0.0
shree varu homes gruham,"alagiri nagar, gst road",151.0,1260,3,0.0
green apple flats,"ags colony, velachery",85.0,874,2,0.0
"ashok nagar, west jafferkhanpet, gst road, chennai south","ashok nagar, west jafferkhanpet, gst road",105.0,1004,3,0.0
babu flats,"rose nagar, kovilambakkam",95.17,1236,3,0.0
"nemilichery, chromepet, chennai south","nemilichery, chromepet",180.0,1690,5,0.0
apartment,"kathirvedu, puzhal",80.0,870,2,0.0
jbm mudra,perungudi,90.0,1097,2,0.0
"besant nagar, chennai, chennai south",besant nagar,318.0,1478,3,0.0
"ponmar, chennai, chennai south",ponmar,65.0,1800,3,0.0
revathy anush apartment,pammal,48.0,760,2,0.0
partha enclave,porur,79.95,967,2,0.0
partha enclave,kattupakkam,79.64,963,2,0.0
lake side apartments,surapet,62.0,1020,2,0.0
babu enclave,nanmangalam,98.4,1248,3,0.0
somu residency,"rose nagar, kovilambakkam",103.0,1218,3,0.0
rahul shrikrupa,"vijayalakshmi puram, ambattur",40.0,700,2,0.0
apartment,"saligramam, arcot road",99.0,1038,2,0.0
lakshmi apartment,"karthikeyapuram, madipakkam",95.0,1331,3,0.0
annai ninaivu nagar kathirvedu,"kathirvedu, puzhal",53.0,867,2,0.0
cc sri ranga apartments,east tambaram,58.0,902,2,0.0
snd sai swaraj,velachery,120.0,1400,3,0.0
archana flats,kovur,65.0,924,2,0.0
on request,"agaramthen, vandalur kelambakkam road",33.2,664,2,0.0
prabha homes blissful,"puzhuthivakkam, madipakkam",98.56,904,2,0.0
prabha homes blissful,"puzhuthivakkam, madipakkam",88.03,877,2,0.0
saideep apartment,thoraipakkam,71.0,1273,3,0.0
adhith residency,kovilambakkam,93.79,1218,3,0.0
adhith enclave,"veeramani nagar, kovilambakkam",89.17,1158,3,0.0
blossom apartment,keelkattalai,58.0,826,2,0.0
"sowcarpet, george town, chennai, chennai central","sowcarpet, george town",150.0,1478,2,0.0
"sai mukesh keerthi,brand new",iyyappanthangal,58.5,954,2,0.0
on request,"agaramthen, vandalur kelambakkam road",35.0,701,2,0.0
babu flats,"rose nagar, kovilambakkam",94.7,1160,3,0.0
vinayaga flats,ambattur,45.0,1020,2,0.0
adhithya residency,kovilambakkam,93.79,1218,3,0.0
adhith residency,"veeramani nagar, kovilambakkam",105.0,1236,3,0.0
udhayam saimugil,chitlapakkam,125.0,1647,3,0.0
"gerugambakkam, chennai, chennai west",gerugambakkam,109.00000000000001,900,3,0.0
babu residency,"veeramani nagar, kovilambakkam",91.57,1159,3,0.0
"thalambur, omr, chennai south","thalambur, omr",107.0,1500,3,0.0
prabha homes blissful,"puzhuthivakkam, madipakkam",80.69,828,2,0.0
prabha homes,"puzhuthivakkam, madipakkam",84.91,877,2,0.0
jeeva avenue,sithalapakkam,145.0,1045,3,0.0
casagrand northern star,"madhavaram, 
·
rera",130.0,1126,2,0.0
shri sai garden,perumbakkam,155.0,1800,4,0.0
new flat,ambattur,62.89,904,2,0.0
prabha homes suceela,"puzhuthivakkam, madipakkam",86.19,806,2,0.0
"grand adore,new",madipakkam,122.0,1475,3,0.0
"muekesh flat,new",iyyappanthangal,56.49,955,2,0.0
